id,prompt,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation
quiz-001,RNN 又稱為循環神經網路，LSTM 為其衍伸，最主要的差異為 LSTM 中加入三個控制用開關，請問開關為下列何者？,輸入(input),輸出(output),遺忘(forget),以上皆是,D,正確答案是 D：以上皆是。
quiz-002,RNN 又稱為循環神經網路，LSTM 為其衍伸，最主要的差異為 LSTM 中加入三個控制用開關，請問開關組合為下列何者？,inside / forget / outside,input / forget / output,input / remove / output,inside / remove / outside,B,正確答案是 B：input / forget / output。
quiz-003,在 Linux 中，執行指令 chmod 664 後該檔案權限會變成下列何者？,-rw-rw-rw-,-rw-rw----,-rw-rw-r-x,-rw-rw--r-,C,正確答案是 C：-rw-rw-r-x。
quiz-004,下列何者並非 SHA-2 家族中的標準？,SHA-256,SHA-512,SHA-384,SHA-1024,D,正確答案是 D：SHA-1024。
quiz-005,下列關於 K means 敘述，何者錯誤？,為 Cluster 一種,每次執行群中心都是固定的,多用來處理 Discrete data,屬於 Unsupervised Learning,B,正確答案是 B：每次執行群中心都是固定的。
quiz-006,CSS 中 padding 這個屬性在下時，如下兩個值（ex: padding: 20px 0px），他兩個值分別依序代表了和那些方位與內部元件的距離呢？,上左與下右,上下與左右,右下與左上,左右與上下,B,正確答案是 B：上下與左右。
quiz-007,許多政府機關的網站的角落都會有 ::: 請問這是什麼？,方便非視覺閱讀的「導盲磚」（亦稱做定位點）,政府網站的秘密溝通代碼，那些冒號都不是冒號,告訴你這是網站最重要的內容在哪,是政府網站的代碼,A,正確答案是 A：方便非視覺閱讀的「導盲磚」（亦稱做定位點）。
quiz-008,請問 SITCON 從哪一屆開始有除了有 SITCON 娘也有 SITCON 郎？,SITCON 2014,SITCON 2015,SITCON 2016,SITCON 2017,B,正確答案是 B：SITCON 2015。
quiz-009,PT Sans 為俄國非襯線字體，開發於 1998 年紀念彼得大帝對於俄國知識傳播的貢獻，該字體該國資訊公眾基礎工程之一，目前可透過 Google Fonts 線上字體中使用該字體。請問哪一年的 SITCON 主視覺採用該字體為標準字？,SITCON 2013,SITCON 2014,SITCON 2015,SITCON 2016,C,正確答案是 C：SITCON 2015。
quiz-010,ITSA 從第一年 SITCON 2013 即開始支持我們的活動，請問其現階段的全銜為何？,教育部資通訊軟體創新人才推升計畫推動中心,教育部資訊軟體人才培育計畫,中研院自由軟體鑄造場,教育部軟體工程聯盟,A,正確答案是 A：教育部資通訊軟體創新人才推升計畫推動中心。
quiz-011,二進位表示法的 0101 在十進位表示法中寫成？,4,5,6,7,B,正確答案是 B：5。
quiz-012,二進位表示法的 0110 在十進位表示法中寫成？,4,5,6,7,C,正確答案是 C：6。
quiz-013,二進位表示法的 0111 在十進位表示法中寫成？,4,5,6,7,D,正確答案是 D：7。
quiz-014,二進位表示法的 1000 在十進位表示法中寫成？,7,8,9,10,B,正確答案是 B：8。
quiz-015,二進位表示法的 1001 在十進位表示法中寫成？,7,8,9,10,C,正確答案是 C：9。
quiz-016,下列何者不是音樂檔的檔案格式？,.pdf,.wav,.mid,.mp3,A,正確答案是 A：.pdf。
quiz-017,下列何者不是「資訊安全」所要確保的資訊特性？,機密性(Confidentiality),完整性(Integrity),可用性(Avail ability),可延伸性(Scalability)。,D,正確答案是 D：可延伸性(Scalability)。。
quiz-018,下列何者為歐盟通用資料保護規則（GDPR）所保護的個資內容？,Cookie,個人電子信箱,社群網站活動紀錄,以上皆是,D,正確答案是 D：以上皆是。
quiz-019,資訊安全中的「社交工程（Social Engineering）」主要是透過什麼樣弱點，來達成對資訊安全的攻擊方式？,技術缺憾,人性弱點,設備故障,後門程式的掩護。,B,正確答案是 B：人性弱點。
quiz-020,已知一規則定義如下： F0 = 0、F1 = 1、Fn = Fn-1 + Fn-2，請問此規則名為？,畢氏定理,費氏數列,二項氏定理,測不準定律,B,正確答案是 B：費氏數列。
quiz-021,若有一演算法，其執行時間固定不變，請問該演算法時間複雜度為？,O(1),O(n),O(logn),O(0),A,正確答案是 A：O(1)。
quiz-022,下列關於演算法與資料結構的說明，何者錯誤？,資料結構討論電腦中資料儲存的方式,演算法討論解決問題的方法,資料結構的好壞只會影響程式判讀層面,透過資料結構與的演算法，可提升程式效能,C,正確答案是 C：資料結構的好壞只會影響程式判讀層面。
quiz-023,機器學習是一門設計如何讓演算法能夠學習的電腦科學，請問機器學習的典型應用領域包含下列何者？,概念學習,預設模型,分群,以上皆是,D,正確答案是 D：以上皆是。
quiz-024,在 Bash 中，下列選項何者可以用來表示註解？,#,//,rem,/* */,A,正確答案是 A：#。
quiz-025,在 cmd.exe 中，下列哪一個指令可以用來刪除檔案？,del,rmdir,rem,rm,D,正確答案是 D：rm。
quiz-026,下列文書編輯套裝軟體，何者為開放原始碼？,Microsoft Office,WPS Office,iWork,LibreOffice,D,正確答案是 D：LibreOffice。
quiz-027,誰是今年 SITCON 2018 總召？,小蘭,工藤,毛利,柯南,B,正確答案是 B：工藤。
quiz-028,SITCON 2018 年會地點在哪？,中央研究院人工智慧科學館,中央研究院社會科學館,中央研究院人文社會科學館,我是誰我在哪,C,正確答案是 C：中央研究院人文社會科學館。
quiz-029,以下何者不符合正規表達式「aa+b+」？,aab,abb,aaab,aabb,B,正確答案是 B：abb。
quiz-030,以下何者不符合正規表達式「ab+a+b」？,aab,abaab,abbab,abbaab,A,正確答案是 A：aab。
quiz-031,"假設現在 $t0=0、$t1=1、$t2=2，則若有一 MIPS 指令 add $t0, $t1, $t2，問 $t0=？",0,1,2,3,D,正確答案是 D：3。
quiz-032,使用 CSS 為網頁排版時，「單位」是很重要的，請問 CSS 不支援下列哪一種單位？,em,vh,%,小石,D,正確答案是 D：小石。
quiz-033,請問下列何者為 SITCON 2018 之贊助單位？,曉數碼,趨勢科技,微軟,以上皆是,D,正確答案是 D：以上皆是。
quiz-034,請問下列何者為 SITCON 2018 之合作夥伴？,鴻寬科技,張國周製藥,TWNIC,以上皆是,D,正確答案是 D：以上皆是。
quiz-035,請問下列何者為 SITCON 2018 之贊助夥伴？,祐生基金會,KKBOX,Dcard,以上皆是,D,正確答案是 D：以上皆是。
quiz-036,請問下列何者為 SITCON 2018 之合作單位？,ITSA,COSCUP,經濟部資策會,以上皆是,D,正確答案是 D：以上皆是。
quiz-037,請問最基本的邏輯運算子符號不包含下列何者？,AND,OR,NOR,NOT,C,正確答案是 C：NOR。
quiz-038,請問 AR 的全稱為？,虛擬實境,擴增實境,混合實境,以上皆非,B,正確答案是 B：擴增實境。
quiz-039,請問 VR 的全稱為？,虛擬實境,擴增實境,混合實境,以上皆非,A,正確答案是 A：虛擬實境。
quiz-040,請問 MR 的全稱為？,虛擬實境,擴增實境,混合實境,以上皆非,C,正確答案是 C：混合實境。
quiz-041,"CSS 得以用直接輸入 RBG 的數值來表達描述物件的顏色，請問 rgba(0, 0, 0, 0.5); 意味著這是什麼顏色？",百分之 50 半透明的黑色,百分之 0.5 半透明的黑色,百分之 50 半透明的白色,百分之 0.5 半透明的白色,A,正確答案是 A：百分之 50 半透明的黑色。
quiz-042,"CSS 得以用直接輸入 RBG 的數值來表達描述物件的顏色，請問 rgba(255, 255, 255, 0.5); 意味著這是什麼顏色？",百分之 50 半透明的黑色,百分之 0.5 半透明的黑色,百分之 50 半透明的白色,百分之 0.5 半透明的白色,C,正確答案是 C：百分之 50 半透明的白色。
quiz-043,"假設現在 $t0=0、$t1=1、$t2=2，則若有一 MIPS 指令 add $t0, $t1, $t2，問 $t1=？",0,1,2,3,B,正確答案是 B：1。
quiz-044,何者不是文字編碼方式？,ASCII,Unicode,TTF,Big5,C,正確答案是 C：TTF。
quiz-045,TCP 協定的主要功能不包含以下哪一項？,加密,建立連線,重送,控制流量,A,正確答案是 A：加密。
quiz-046,N 層二元樹，其節點數最多有幾個？,2N,N^2,2N-1,2^N-1,D,正確答案是 D：2^N-1。
quiz-047,下列何者不是 Uber 現有服務？,Express Pool,Uber Eats,Uber Bike,以上皆非,D,正確答案是 D：以上皆非。
quiz-048,常聽到的 4G、5G 的「G」是什麼意思？,Generation,Gigabtyes,Gap,Genus,A,正確答案是 A：Generation。
quiz-049,在 IPv4 中，使用 32 位元共 4 組，每組位元最大值為多少？,255,256,257,258,A,正確答案是 A：255。
quiz-050,下列何者非 Linux Kernel 的功能？,Process control,Memory management,File System management,System call controller,D,正確答案是 D：System call controller。
quiz-051,下列何者為 GNU General Public License （GPL）的精神？,開發 GPL 的團體不可以經由該軟體的服務來取得服務的費用,GPL 的授權之軟體，乃為自由軟體，任何人皆可擁有他,GPL 授權下，為保護智慧財產權，不需要公布其原始碼,經過修改過後 open source 均為修改者或是修改團體所擁有，不需要回饋,B,正確答案是 B：GPL 的授權之軟體，乃為自由軟體，任何人皆可擁有他。
quiz-052,過去傳統的 IDE 為用來傳輸硬碟資料的一個介面，一般而言，過去的傳統普通 PC，允許幾個 IDE 介面與裝置？,3 個,4 個,5 個,6 個,B,正確答案是 B：4 個。
quiz-053,一般而言安裝 Linux 至少要有哪兩個 partition？,root / swap,root / cache,root / home,root / media,A,正確答案是 A：root / swap。
quiz-054,過去的 Linux 系統中，利用執行級別（Runlevel）作為不同的執行模式，根據執行級別通常分為 7 等，分別是從 0 到 6，請問下列級別中，何者正確？,0 : 重新開機,3：純文字介面登入，多人單工環境,5：X-Window 登入模式，多人多工模式,6 : 停機、關機,C,正確答案是 C：5：X-Window 登入模式，多人多工模式。
quiz-055,在 ASCII 中，48 用來代表什麼？,0,1,2,3,A,正確答案是 A：0。
quiz-056,下列何者是今日議程之一？,格鬥遊戲 AI 開發經驗談,「我寫故我在」社群媒體裡的憂鬱蹤跡,泡沫列車：一趟加密貨幣的經濟之旅,雷系魔法師也能煎牛排！,C,正確答案是 C：泡沫列車：一趟加密貨幣的經濟之旅。
quiz-057,下列何者是今日議程之一？,BGP Hijacking: new ways to mass surveillance,The evolving role of mobile communication in everyday logistics,"Mobile connection: Permanently online, permanently connected.",Analysis and Improvement of IOTA PoW Implementation,D,正確答案是 D：Analysis and Improvement of IOTA PoW Implementation。
quiz-058,下列何者是今日議程之一？,雷系魔法師也能煎牛排！,「我寫故我在」社群媒體裡的憂鬱蹤跡,直播邊看邊好玩：探討遊戲挑戰及持續意圖,"想學 OS, 從 MINIX 開始",D,"正確答案是 D：想學 OS, 從 MINIX 開始。"
quiz-059,下列何者是今日議程之一？,網路身分的真與假：談網路實名制,格鬥遊戲 AI 開發經驗談,從學生到放火實習生的奇幻旅程,「我寫故我在」社群媒體裡的憂鬱蹤跡,C,正確答案是 C：從學生到放火實習生的奇幻旅程。
quiz-060,16 進位的 A 是 10 進位的多少？,10,11,12,13,A,正確答案是 A：10。
quiz-061,Linux 系統中，有五個次目錄必須與根目錄同一分割槽，不可獨立分割，請問下列何者不始於為此五次目錄？,/var,/lib,/etc,/bin,A,正確答案是 A：/var。
quiz-062,Linux 系統中，有五個次目錄必須與根目錄同一分割槽，不可獨立分割，請問下列何者屬於此五個次目錄之一？,/log,/dev,/usr,/var,B,正確答案是 B：/dev。
quiz-063,"在 C++ 中，定義一陣列 int arr[5] = {1, 2, 3, 4, 5};，請問 arr[1] 的數值為多少？",1,2,3,4,B,正確答案是 B：2。
quiz-064,一個 byte 有八個 bit，一個英文字元佔有一個 byte，請問一個中文字元有幾個 bit？,1,8,2,16,D,正確答案是 D：16。
quiz-065,在 C++ 中，下列型態何者不在標準規範中？,point,int,char,string,A,正確答案是 A：point。
quiz-066,在 C++ 中，用來表示「不等於」的運算子是下列何者？,!=,@=,#=,$=,A,正確答案是 A：!=。
quiz-067,在 C++ 中，用來表示「賦值」的運算子為下列何者？,=,->,>,<,A,正確答案是 A：=。
quiz-068,現行的 HTTPS 採用何種方式對網頁資料進行加密？,對稱式金鑰密碼法,非對稱式金鑰密碼法,兩者並用,可能是對稱式金鑰密碼法，也可能是非對稱式金鑰密碼法,C,正確答案是 C：兩者並用。
quiz-069,數位簽章，又稱公鑰數位簽章，是一種類似寫在紙上的普通的物理簽名，但是使用了公鑰加密領域的技術實現，用於鑑別數位信息的方法。對一個檔案進行加密與數位簽章後，仍不能提供下列何種安全需求？,完整性,機密性,不可否認性,不可重用性,B,正確答案是 B：機密性。
quiz-070,電腦資料存取控制的安全是經由下列何種流程來確保？,驗證→識別→授權,識別→驗證→授權,驗證→授權,識別→授權,B,正確答案是 B：識別→驗證→授權。
quiz-071,chroot 是在 UNIX 系統的一個操作，針對正在運作的軟體行程和它的子行程，改變它外顯的根目錄。chroot 程式可歸類為何種資安相關的應用？,Firewall,Sandbox,Honeypot,以上皆非,B,正確答案是 B：Sandbox。
quiz-072,下列哪一個 Linux 指令可以列出目前本機與其它連網設備的網路連線？,man,ls,netstat,ifconfig,C,正確答案是 C：netstat。
quiz-073,下列哪一個 Linux 指令可以列出目前的目錄的清單？,ls,man,netstat,ifconfig,A,正確答案是 A：ls。
quiz-074,下列哪一個 Linux 指令可以查看 Linux 中的指令幫助、配置文件幫助等訊息？,ls,ifconfig,netstat,man,D,正確答案是 D：man。
quiz-075,有關一次性密碼 (one-time password) 的說明，下列何者正確？,一次性發給多個密碼,第一次申請帳號時，臨時發給使用者的預設密碼,只使用一次即丟棄的密碼,這只是理論上的概念，無法實作出來,C,正確答案是 C：只使用一次即丟棄的密碼。
quiz-076,有關 SHA-1 的敍述，下列何者錯誤？,是一種密碼雜湊函數,訊息摘要為160位元,設計原理相似於 MD4 和 MD5,至今尚未被破解,D,正確答案是 D：至今尚未被破解。
quiz-077,在作業系統中，一組 processes 陷入互相等待的情況，造成 processes 無法往下執行，稱為 deadlock。一般來說 deadlock 成立有四個必要條件，下列何者為非？,Mutual exclusion,Hold & wait,Circular waiting,Preemption,D,正確答案是 D：Preemption。
quiz-078,在 Linux 系統中，「ls」是顯示檔案的檔名與相關屬性，「-al」則表示列出所有的檔案詳細的權限與屬性。下列有關檔案類型權限的敘述，何者正確？,r 代表可刪除,w 代表可寫,x 代表可執行,- 代表無權限,A,正確答案是 A：r 代表可刪除。
quiz-079,在 Linux 中，若有一個檔案的類型與權限資料為「-rwxr-xr--」，關於其說明何者錯誤？,擁有者的權限為可讀、可寫、可執行,同群組使用者權限為可讀可執行,其他使用者無任何權限,這個檔名為檔案,C,正確答案是 C：其他使用者無任何權限。
quiz-080,下列有關 Linux 之指令，何者錯誤？,chgrp ：改變檔案所屬群組,chown ：改變檔案擁有者,chmod ：改變檔案的權限,上列敘述接錯誤,D,正確答案是 D：上列敘述接錯誤。
quiz-081,正規表示法就是用在字串的處理上面的一項「表示式」，請問下列選項中，何者可以篩選出電子信箱？,([A-Za-z][0-9])*[\\\+\-\*]([A-Z][0-9])*,\w+([-+.']\w+)*@\w+\.\w+([-.]\w+)*,"^([\w-\.]+)((\[[0-9]{1,3}\.[0-9]{1,3}{2,4})$",([-+.']\w+)\w+([-.]\w+)*\.\w+([-.]\w+),B,正確答案是 B：\w+([-+.']\w+)*@\w+\.\w+([-.]\w+)*。
quiz-082,哪種程式語言是以縮排來分辨程式中不同的區塊（block）？,C/C++,Python,JavaScript,Go,B,正確答案是 B：Python。
quiz-083,下列時間複雜度是指數時間？,O(1),O(n^2),O(2^n),O(logn),C,正確答案是 C：O(2^n)。
quiz-084,Node.js 用的是下列何種 JavaScript engine？,WebKit,Rhino,V8,Chakra,C,正確答案是 C：V8。
quiz-085,下列哪個並不屬於 IPC（Inter-Process Communication）的方法之一？,Pipe,Signal,Shared Memory,Message Handle,D,正確答案是 D：Message Handle。
quiz-086,有許多方法可以解決 Critical Section Problem，以下的哪種方法並無法防止此現象？,Mutex,Semaphore,Peterson's Solution,Bacon's Algorithm,D,正確答案是 D：Bacon's Algorithm。
quiz-087,何者並非 HTML5 所新增的特點？,<!DOCTYPE html5>,<!DOCTYPE html>,autofocus,<canvas> tag,A,正確答案是 A：<!DOCTYPE html5>。
quiz-088,近年來有了許多 NoSQL 的資料庫，以下何者並不是 NoSQL？,PostgreSQL,Neo4j,MongoDB,Redis,A,正確答案是 A：PostgreSQL。
quiz-089,Hadoop 是近年來處理大量資料的一大利器，請問該系統是利用何種運算架構來實作？,MobReplace,MapReduce,MapReduct,ModReject,B,正確答案是 B：MapReduce。
quiz-090,在 Linux 中，執行指令 chmod 664 後該檔案權限會變成下列何者？,-rw-rw-rw-,-rw-rw----,-rw-rw-r-x,-rw-rw--r-,C,正確答案是 C：-rw-rw-r-x。
quiz-091,下列何者並非 SHA-2 家族中的標準？,SHA-256,SHA-512,SHA-384,SHA-1024,D,正確答案是 D：SHA-1024。
quiz-092,數位簽章是為了保證何種性質而存在？,機密性,不可否認性,完整性,特殊性,B,正確答案是 B：不可否認性。
quiz-093,破解 RSA 金鑰的困難主要是下列何者？,乘法速度太慢,產生大質數很困難,沒有快速的質數篩法,沒有有效的因數分解演算法,D,正確答案是 D：沒有有效的因數分解演算法。
quiz-094,rsync 與 cp 這兩個程式皆可以複製檔案，兩者的比較，何者正確？,rsync 可以透過 SSH 傳輸,rsync 可以保存原本的檔案權限,cp -u 與 rsync 使用相同 update 演算法,cp 無法顯示複製的進度,C,正確答案是 C：cp -u 與 rsync 使用相同 update 演算法。
quiz-095,在 C++ 中，「#pragma once」的用途是？,Race conditoon,Include guard,Interrupt,Data collision,B,正確答案是 B：Include guard。
quiz-096,Python3 的 built-in type 不包含哪種？,complex,list,array,dict,C,正確答案是 C：array。
quiz-097,何者是 ES6 的新保留字？,instanceof,yield,var,default,B,正確答案是 B：yield。
quiz-098,下列哪個 JavaScript code 的執行結果為 false？,undefined == undefined,10 == '10',NaN === NaN,[]+![] == 'false',C,正確答案是 C：NaN === NaN。
quiz-099,下列哪個 JavaScript code 的執行結果為 true？,[1] + [] == '1',[] == [],typeof [] == 'Array',1 === true,A,正確答案是 A：[1] + [] == '1'。
quiz-100,dd 這個公用程式的功能何者為非？,清除磁碟分割,製作開機USB,將檔案改成全部大寫,幫程式碼縮排,D,正確答案是 D：幫程式碼縮排。
quiz-101,MIT Lisence 的敘述何者正確？,不需在重置物納入該授權,可與其他授權條款並存,被授權人不可出版軟體重製物,GPL 不相容,B,正確答案是 B：可與其他授權條款並存。
quiz-102,哪個語法是 ES6 為了解決 callback 問題所加入的概念？,monad,await,promise,list comprehension,C,正確答案是 C：promise。
quiz-103,"[j for i in range(2,int(sqrt(n))) for j in range(i*2, n, i)]，這段 Python code 會出現甚麼？",1 至 n 的倍數,1 至 n 的質數,1 至 n 的幸運數,1 至 n 的合數,D,正確答案是 D：1 至 n 的合數。
quiz-104,SSH 的預設 port 是哪個？,23,22,80,66,B,正確答案是 B：22。
quiz-105,DHCP 的預設 port 是哪個？,66&67,35&36,67&68,76&86,C,正確答案是 C：67&68。
quiz-106,現行 HTTPS 是利用何種協定來建立安全連線的？,SSL,TLE,TLS,TTL,C,正確答案是 C：TLS。
quiz-107,下列何者定義了 TLS 的標準？,RFC 7540,RFC 5246,IEEE 802.1X,IEEE 754,B,正確答案是 B：RFC 5246。
quiz-108,下列何者定義了 VLAN 的標準？,RFC 7540,RFC 6749,IEEE 802.1Q,IEEE 802.1aq,C,正確答案是 C：IEEE 802.1Q。
quiz-109,一個應用程式可以不用經過大幅修改，而依照不同使用者使用不同語言、日期格式與數字格式的的設計我們稱為甚麼？,i10n,i18n,L18n,I17n,B,正確答案是 B：i18n。
quiz-110,下列何者定義了 Oauth2 的標準？,RFC 6749,RFC 7540,IEEE 802.1ap,IEEE 802.1aq,A,正確答案是 A：RFC 6749。
quiz-111,由於 Linux 有許多的 distribution，每家提供的軟體包管理器都不一樣，下列何者不是軟體包管理器？,pacman,pcman,Zypper,APT,B,正確答案是 B：pcman。
quiz-112,i18n 的全稱是？,intersection,incorporation,internationalization,incorporation,C,正確答案是 C：internationalization。
quiz-113,L10n 的全稱是？,logistician,lmfaotion,localization,legalization,C,正確答案是 C：localization。
quiz-114,可以用哪個程式查詢從本地到另一個 IP Address 所經過的 router？,ifconfig,traceroute,nslookup,ping,B,正確答案是 B：traceroute。
quiz-115,下列哪個 IP 不屬於 192.168.144.0/23 這個網段的？,192.168.145.241,192.168.143.2,192.168.144.1,192.168.144.254,B,正確答案是 B：192.168.143.2。
quiz-116,Java 是哪一間公司推出的？,Microdsoft,Amazon,Sun,WWE,C,正確答案是 C：Sun。
quiz-117,下列有關中間人攻擊的敘述，何者錯誤？,攻擊者使用公鑰交換來攔截消息，取代他自己的公鑰發給被請求方,攻擊者可以竊聽或是竄改,攻擊者可能竊聽但不竄改資料,目前尚沒有防禦中間人攻擊的方法,D,正確答案是 D：目前尚沒有防禦中間人攻擊的方法。
quiz-118,Fitbit 與 Pebble 皆有 SSL 傳輸加密，推測此兩項產品無法使用何種攻擊？,中間人攻擊,雲端服務,阻斷服務攻擊,以上皆是,A,正確答案是 A：中間人攻擊。
quiz-119,Skimer 為目前已知的第一個 ATM 惡意程式，請問關於 Skimer 的敘述何者正確 ？,最早出現在 2007 年，遠端植入到 ATM 上,透過客製化中介軟體來操作 ATM 的周邊裝置,前已知在外流傳的變種共有三種,以上皆是,B,正確答案是 B：透過客製化中介軟體來操作 ATM 的周邊裝置。
quiz-120,AI 技術廣泛應用在資安產品中，請問下列哪項有運用AI技術？,變臉詐騙阻擋,惡意巨集偵測,垃圾郵件阻擋,以上皆是,D,正確答案是 D：以上皆是。
quiz-121,二元樹中，post-order Traversal 為下列何種方法？,VLR,LVR,LRV,以上皆非,C,正確答案是 C：LRV。
quiz-122,在二元樹走訪的方法中，我們常聽到 LVR、LRV、VLR 三種方法，請問 L 代表？,移動到 Left child,移動到 Left side,Leave the program,Leave the number,A,正確答案是 A：移動到 Left child。
quiz-123,在二元樹走訪的方法中，我們常聽到 LVR、LRV、VLR 三種方法，請問 V 代表？,voice，輸出當前 node 值,vacancy，表示當前 node 為空白,vacation，程式暫停,Visiting，對當前的 node 進行print、assign或其他操作,D,正確答案是 D：Visiting，對當前的 node 進行print、assign或其他操作。
quiz-124,下列關於 SOREBRECT 勒索病毒的敘述何者錯誤？,為無檔案式威脅和勒索病毒相結合,最終目標是將系統上的檔案加密,不善匿蹤,採集樣本困難,C,正確答案是 C：不善匿蹤。
quiz-125,下列關於「變臉詐騙」的敘述，何者為真？,為高成本高收益的詐騙手段,以紙本郵件為攻擊途徑,要求使用者限時用比特幣付贖,以上皆是,C,正確答案是 C：要求使用者限時用比特幣付贖。
quiz-126,NeoPocket 為一種 ATM 惡意程式，請問有關 NeoPocket 敘述何者錯誤？,資訊竊取程式，不在乎鈔票,攻擊手法為中間人攻擊,自動方式安裝到 ATM 提款機上，經常與提款機的周邊裝置溝通,成功要件為熟悉 Diebold Agilis® 軟體並了解系統架構,C,正確答案是 C：自動方式安裝到 ATM 提款機上，經常與提款機的周邊裝置溝通。
quiz-127,Linux 的系統設定檔通常位於哪個資料夾下？,/var,/etc,/mnt,/usr,B,正確答案是 B：/etc。
quiz-128,Linux 的 inode 是用來紀錄與檔案相關資訊，以下哪個不是 inode 會記錄的東西？,檔案權限,類型,owner,檔名,D,正確答案是 D：檔名。
quiz-129,Vim 是一個強大的編輯器，但許多人不小心開啟了 Vim 卻不知道如何離開，請問下列哪個指令可以輕鬆關閉 Vim？,qeqweqwrqwer,Ctrl-Alt-Delete,Ctrl-C,以上皆非,D,正確答案是 D：以上皆非。
quiz-130,Vim 可以快速地將小寫改成大寫，請問是哪一個指令可以？,gu,gU,gg,gl,B,正確答案是 B：gU。
quiz-131,二元樹中，in-order Traversal 為下列何種方法？,VLR,LVR,LRV,以上皆非,B,正確答案是 B：LVR。
quiz-132,在二元樹走訪的方法中，我們常聽到 LVR、LRV、VLR 三種方法，請問 R 代表？,Register the program,Register the number,移動到 Right child,移動到 Right side,C,正確答案是 C：移動到 Right child。
quiz-133,RNN 又稱為循環神經網路，LSTM 為其衍伸，最主要的差異為 LSTM 中加入 input / forget / output 三個控制用開關，請問這些開關與相對應作用組合下列何者正確？,Input gate 控制前一個以及當前時刻的新資訊,Forget gate主要用來控制從隱藏層節點中要忘記哪些資訊,Output gate 控制哪些資訊可以通過,以上皆是,D,正確答案是 D：以上皆是。
