id,prompt,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation
quiz-279,加密與解密的演算法是一種數學運算公式，主要目的是將明文轉換成密文，密碼學基本的數學運算概念有三種，下列何者為非？,取代,置換,相乘,迭代,D,正確答案是 D：迭代。
quiz-280,正規語法（Regular Grammar）是一種相當簡單的語法。此種標準的正規語法後來被稱為正規表達式（Regular Expression）。下列關於正規表達式語法，何者敘述錯誤？,[0-9] ：比對含數字之字串,[a-z0-9]：比對含數字或小寫字母之字串,b[aeiou]t ：比對bat、bet、bit、bot、but,[aeiouAEIOU] ：比對不含母音之字串,D,正確答案是 D：[aeiouAEIOU] ：比對不含母音之字串。
quiz-281,所謂的三向交握（Three-way Handshake）是下列哪一個協定建立虛擬連線（virtual connection）的方式？,TCP,UDP,ARP,SMTP,A,正確答案是 A：TCP。
quiz-282,下列何者並非以人工智慧為題材的科幻電影？,關鍵少數（Hidden Figures）,A.I.人工智慧（A.I. Artificial Intelligence）,變人（Bicentennial Man）,銀翼殺手（Blade Runner）,A,正確答案是 A：關鍵少數（Hidden Figures）。
quiz-283,在《神鬼駭客：史諾登》中，主角最後將什麼計畫透漏給記者？,稜角計劃,稜鏡計劃,CIA 計劃,他沒有透漏任何東西,B,正確答案是 B：稜鏡計劃。
quiz-284,何者不包括在 TCP/IP 協定組合中？,DNS,ASP,ARP,HTTP,B,正確答案是 B：ASP。
quiz-285,下列敘述何者正確？,IPv4 位址為 64 Bits,IPv6 位址為 128 Bits,IPv4 位址通常以「4 段式、16 進位」表示,「203.74.205.256」為正確的 IPv4 位址,B,正確答案是 B：IPv6 位址為 128 Bits。
quiz-286,知名搜尋引擎 Yahoo! 創始人來自哪個國家？,美國,波蘭,台灣,俄羅斯,C,正確答案是 C：台灣。
quiz-287,自然語言處理（NLP）目標是要讓電腦能「理解」自然語言。一般而言，NLP 處理分為五大流程，請問下列何者不為自然語言處理的處理流程？,Tokensize,POS tagging,facing,Semantics,C,正確答案是 C：facing。
quiz-288,Deep learinging 為時下最熱門的研究領域之一，當中常利用神經網路模型進行訓練，請問下列關於各神經網路模型的敘述，何者錯誤？,CNN 為卷積神經網路，第一層為池化層，第二層為卷基層，,RNN 為循環神經網路，主要用來處理序列性資料。,LSTM 可以說是 RNN 的延伸為，其差異為 LSTM 加入三個控制開關,Word2vec 又分為 CBOW 與 Skip-gram 兩種模型,A,正確答案是 A：CNN 為卷積神經網路，第一層為池化層，第二層為卷基層，。
quiz-289,請問 SITCON 的 Telegram 討論群組，ID 為何？,@SITCONtw,@SITCON,@SITCONgeneral,@SITCONorg,C,正確答案是 C：@SITCONgeneral。
quiz-290,網際網路犯罪中心將變臉詐騙分為五大類型，不包含下列何者？,假發票詐騙,執行長詐騙,假冒成律師,假冒成警察,D,正確答案是 D：假冒成警察。
quiz-291,下列哪一種資安攻擊手法不需要強大的資訊技能？,SQL Injection,Click jacking,Social Engineering,Domain name hijacking,C,正確答案是 C：Social Engineering。
quiz-292,當一個瀏覽器試圖連線開啟 https://www.facebook.com/ 時，瀏覽器不會做下列哪件事？,偷偷查看使用者 D 槽文件,與網頁伺服器建立加密的安全連線,檢查網頁伺服器是否能夠提供有效的憑證,使用 HTTP 通訊協定向網頁伺服器要求傳送網頁內容,A,正確答案是 A：偷偷查看使用者 D 槽文件。
quiz-293,請問下列關於二元樹的敘述，何者錯誤？,原理是 Divide and Conquer,時間複雜度最差為 O(N),時間複雜度最佳為 O(logN),空間複雜度為 O(logN),D,正確答案是 D：空間複雜度為 O(logN)。
quiz-294,下列關於 Binary Heap 的敘述，何者正確？,其二元樹的樹根數字，總是小於等於左右小孩的數字,插入的時間複雜度為 O(logN),求極值的時間複雜度為 O(N),刪除的時間複雜度為 O(logN),C,正確答案是 C：求極值的時間複雜度為 O(N)。
quiz-295,目前廣泛被各大 Linux 發行版採用的 init 程式是？,Upstart,systemd,systemctl,initctl,B,正確答案是 B：systemd。
quiz-296,下列何者是今日議程之一？,你媽知道你在寫 Functional 嗎？,校園資訊系統的困境與嘗試改善,前端工程的過去、現在與未來,格鬥遊戲 AI 開發經驗談,A,正確答案是 A：你媽知道你在寫 Functional 嗎？。
quiz-297,下列何者是今日議程之一？,重拾數位時代的公民權,奔跑吧！台北：遊戲開發經驗分享,雷系魔法師也能煎牛排！,直播邊看邊好玩：探討遊戲挑戰及持續意圖,B,正確答案是 B：奔跑吧！台北：遊戲開發經驗分享。
quiz-298,下列何者是今日議程之一？,網路身分的真與假：談網路實名制,蘊含著強大力量的 GTK 啊，封印解除！,用 Electron 實踐跨平臺桌面程式,直播邊看邊好玩：探討遊戲挑戰及持續意圖,B,正確答案是 B：蘊含著強大力量的 GTK 啊，封印解除！。
quiz-299,下列何者是今日議程之一？,從 V8 Javascript 引擎淺談現代編譯技術,寫寫你的美好：一起打造「藝術產生器」吧！,600 秒學會 UI 設計,校園資訊系統的困境與嘗試改善,C,正確答案是 C：600 秒學會 UI 設計。
quiz-300,請問下列關於 SaaS（Software as a Service）的敘述，何者錯誤？,將軟體以服務的型式來提供,單租戶型式,降低了使用軟體的門檻,使用者透過網路即可使用軟體,B,正確答案是 B：單租戶型式。
quiz-301,CSS3 新增了酷炫的文字陰影，請問 text-shadow: 5px 5px 10px #FF0000; 這條程式中的 10px 代表這是什麼意思？,陰影與本體水平位移 10px,陰影與本體垂直位移 10px,陰影為模糊 10px 陰影,陰影的顏色,C,正確答案是 C：陰影為模糊 10px 陰影。
quiz-302,請問哪年的 SITCON 主視覺中特別以藍色或粉紅色標注了 ING 三個字？,SITCON 2015,SITCON 2016,SITCON 2017,SITCON 2018,C,正確答案是 C：SITCON 2017。
quiz-303,國中國文課本中的作家琦君，其著名的做作品「橘子紅了」，是以每年橘子紅的時節為延伸的言情小說作品； SITCON 的猶如橘子般的指南針 Logo 也有曾經紅了的時節，請問該事件發生在哪一年？,SITCON 2014,SITCON 2015,SITCON 2016,SITCON 2017,B,正確答案是 B：SITCON 2015。
quiz-304,SITCON 的黑客松活動其名稱為何？,HackGen 駭客松,HackThon 駭客世代,HackGen 駭客世代,HackGen 少年世代,C,正確答案是 C：HackGen 駭客世代。
quiz-305,二元樹中，LRV Traversal 為下列何種方法？,pre-order,in-order,post-order,以上皆非,C,正確答案是 C：post-order。
quiz-306,二元樹中，pre-order Traversal 可以簡稱為？,VLR,LVR,LRV,以上皆非,A,正確答案是 A：VLR。
quiz-307,變臉詐騙簡稱為 BEC ，又稱為商務電子郵件入侵，其兩大攻擊技巧，分別為「竊取帳號登入憑證」與下列何者？,單純利用電子郵件,假冒成律師,假發票詐騙,竊取資料,A,正確答案是 A：單純利用電子郵件。
quiz-308,網路釣魚為變臉詐騙最常見的手法之一，下列有關於網路釣魚的敘述，何者錯誤？,典型的網路釣魚攻擊會使用電子郵件挾帶一個經過偽裝的連結。,郵件內隨附 PDF 檔案是網路釣魚慣用的伎倆之一,網路釣魚郵件當中，有時挾帶惡意的 HTML 檔案,以上皆正確,D,正確答案是 D：以上皆正確。
quiz-309,年初 Intel 處理器爆發兩大漏洞分別為 Meltdown 和 Spectre，關於兩者的敘述何者正確？,Spectre 所影響的是 Intel 處理器,Meltdown 可讓駭客竊取系統核心、快取檔案內的資料,Spectre 漏洞所影響的處理器包括：Intel、AMD 及 ARM,Meltdown 應用程式在記憶體內的敏感資料可能遭到存取,C,正確答案是 C：Spectre 漏洞所影響的處理器包括：Intel、AMD 及 ARM。
quiz-310,根據〈利用 ATM 惡意程式大發利市 〉一文中，將ATM 攻擊分為兩大類，按進入 ATM 方式可分別為？,臨機操作方式與網路進入方式,硬體操作方式與軟體操作方式,設備解密方式與惡意攻擊方式,實體攻擊方式與遠端攻擊方式,A,正確答案是 A：臨機操作方式與網路進入方式。
quiz-311,關於 Melissa 病毒的敘述何者為非？,製作者以脫衣舞孃的名字為病毒命名,通過郵件傳播,為蠕蟲病毒,運用Word軟體里的宏運算編寫而成,C,正確答案是 C：為蠕蟲病毒。
quiz-312,請問下列有關於 SVM 的敘述，何者錯誤？,全稱為 Support Vector Machine,與 Logistic Regression 相同屬於一種分類器方法,目前應用範圍僅在資訊安全領域,在自然語言處理（NLP）應用中，比 Bag-of-words 或是 Tf-idf 效果更好,C,正確答案是 C：目前應用範圍僅在資訊安全領域。
quiz-313,下列關於資料結構 Tree 的敘述何者錯誤？,樹的節點個數是一或多個有限集合,存在一個節點稱為根節點,跟節點的階層（Level）為 0,每個節點擁有的子節點數稱為「分支度」（Dregree）,C,正確答案是 C：跟節點的階層（Level）為 0。
quiz-314,下列關於二元樹（Binary Tree）的敘述何者錯誤？,每個節點最多只能有 2 節點,節點個數無限集合,節點各數可為的空集合,二元樹的節點可以分成兩個沒有交集的子樹,B,正確答案是 B：節點個數無限集合。
quiz-315,二元樹中，LVR Traversal 為下列何種方法？,pre-order,in-order,post-order,以上皆非,B,正確答案是 B：in-order。
quiz-316,在使用 bash 的時候，用哪個按鍵組合可以將程式放到背景並暫停？,Ctrl-Q,Ctrl-Alt-Delete,Ctrl-Space,Ctrl-Z,D,正確答案是 D：Ctrl-Z。
quiz-317,數位簽章應用了公鑰密碼領域使用的單向函數原理。下列關於單向函數的敘述，何者正確？,對於輸入，函數值容易計算，但給出一個隨機輸入的函數值，無法算出原始輸入,單向函數是否存在計算機科學中，是一個已經被證明的問題,單向函數存在，將證明複雜性類 P/NP 問題中，P 不等於 NP。,以上皆非,C,正確答案是 C：單向函數存在，將證明複雜性類 P/NP 問題中，P 不等於 NP。。
quiz-318,正規語法（Regular Grammar）是一種相當簡單的語法，後期發展成為重要的程式設計工具。此種標準的正規語法後來被稱為正規表達式（Regular Expression）。下列關於正規表達式符號之意義，何者正確？,^ ：匹配輸入字串的結束位置,$ ：匹配輸入字串的開始位置,* ：匹配前面的子運算式零次或多次,+ ：匹配後面的子運算式一次或多次,C,正確答案是 C：* ：匹配前面的子運算式零次或多次。
quiz-319,正規語法（Regular Grammar）是一種相當簡單的語法，後期發展成為重要的程式設計工具。此種標準的正規語法後來被稱為正規表達式（Regular Expression）。下列關於正規表達式符號之意義，何者錯誤？,\B：匹配非單詞邊界,\D：匹配一個數位字元,\n ：匹配一個分行符號,\S：匹配任何非空白字元,B,正確答案是 B：\D：匹配一個數位字元。
quiz-320,CNN 又稱為卷積神經網路，基本結構包含兩層，請問第一層與第二層的順序分別為？,池化層 / 卷積層,卷積層 / 池化層,植入層 / 池化層,池化層 / 植入層,B,正確答案是 B：卷積層 / 池化層。
quiz-321,CNN 又稱為卷積神經網路，其中一層稱做卷基層，關於卷積層的敘述，何者錯誤？,目的主要擷取出重要特徵,經過不停移動找出同樣的局部特徵,採用降維採樣,確認不同特徵間的位置關係,C,正確答案是 C：採用降維採樣。
quiz-322,CNN 又稱為卷積神經網路，基本結構包含兩層，其中一層稱做池化層，請問關於池化層的敘述，何者錯誤？,採用降維採樣,將卷積取得的結果進行壓縮,會盡可能保留重要的資訊,最常見的池化方式為最佳池化（optimization pooling）,D,正確答案是 D：最常見的池化方式為最佳池化（optimization pooling）。
quiz-323,RNN 又稱為循環神經網路，LSTM 為其衍伸，最主要的差異為 LSTM 中加入三個控制用開關，請問開關不包含下列何者？,輸入(input),移除(remove),輸出(output),遺忘(forget),B,正確答案是 B：移除(remove)。
quiz-324,ATM 是由下列金融卡交易訊息交換規格來溝通？,ISO/IEC 8859-1,ISO 8601,ISO 8583,ISO/IEC 80000,C,正確答案是 C：ISO 8583。
quiz-325,Processing 是一個提供給藝術創作者的一個開源的 IDE ，請問其不支援用哪個語言？,Java,Javascript,Python,Ruby,D,正確答案是 D：Ruby。
quiz-326,請問下列何者不為剖析器？,LL,LR,LALR,LSR,D,正確答案是 D：LSR。
quiz-327,下列哪一種語言是所謂的低階語言？,Assembly,C++,Python,Java,A,正確答案是 A：Assembly。
quiz-328,Linux 目錄樹配置標準 FHS，主要定義那三段目錄，下列何者為非？,root,/usr,/var,/bin,D,正確答案是 D：/bin。
quiz-329,橢圓曲線密碼學，一種建立公開密鑰加密的演算法。下列關於橢圓取線密碼學，何者敘述錯誤？,基於橢圓曲線數學,公開密鑰加密又稱為非對稱加密,它需要一個金鑰,加解密所需時間較長,C,正確答案是 C：它需要一個金鑰。
quiz-330,學生計算機年會的縮寫為？,SITCQN,sitcon,STICON,SITCON,D,正確答案是 D：SITCON。
quiz-331,在開發者笑話中，我們常比喻「什麼」與「什麼」的差異，就好像狗與熱狗？,C# 與 Objecct C,C 與 C++,HTML 與 CSS,Java 與 JavaScript,D,正確答案是 D：Java 與 JavaScript。
quiz-332,網際網路原始開發用途是？,軍事,建築,民用,工業,A,正確答案是 A：軍事。
quiz-333,下列哪一種程式語言最古老？,Fortran,C,Java,Verilog,A,正確答案是 A：Fortran。
quiz-334,在 C 語言中，int 型態能存取的最大值為多少？,2147483647,2147483648,2147483649,2147483650,A,正確答案是 A：2147483647。
quiz-335,在 C 語言中，int 型態能存取的最小值為多少？,–2147483648,–2147483647,–2147483650,–2147483651,A,正確答案是 A：–2147483648。
quiz-336,OSI 的網路架構總共有幾層？,7,6,5,4,A,正確答案是 A：7。
quiz-337,下列哪一個協定最常被拿來應用於傳送影片等串流？,TCP,UDP,DHCP,FTP,A,正確答案是 A：TCP。
quiz-338,為了因應 IP 位址的缺乏，目前正在推動 IP 第幾版的普及？,6,7,8,9,A,正確答案是 A：6。
quiz-339,在 IPv6 中，每一組 4 個 16 位元數字用什麼符號隔開？,冒號,分號,逗號,句號,A,正確答案是 A：冒號。
quiz-340,請問全球共有幾台 root DNS server？,13,14,15,16,A,正確答案是 A：13。
quiz-341,下列哪一種協定不是應用於收發信？,TCP,SMTP,POP3,IMAP,A,正確答案是 A：TCP。
quiz-342,下列何者並非程式語言？,Ruby,Go,GoG,R,C,正確答案是 C：GoG。
quiz-343,下列公司與其對應的 VR 產品何者配對錯誤？,HTC / Vive,Sony / PlayStation VR,Google / Oculus,Samsung / Gear VR,C,正確答案是 C：Google / Oculus。
quiz-344,誰被譽為「現代電腦之父」？,舍恩伯格,艾倫圖靈,溫特沃斯,以上皆非,B,正確答案是 B：艾倫圖靈。
quiz-345,下列何者非瀏覽器？,Firefox,Safari,UA Browser,Opera,C,正確答案是 C：UA Browser。
quiz-346,在 C library，關於 strcpy()，下列何者敘述錯誤？,會自動偵測以 '\0' 為結尾,不需要指定長度,當 *src 長度大於 *dest 時會 buffer overflow,可以複製任何類型資料,D,正確答案是 D：可以複製任何類型資料。
quiz-347,C 語言中「i++」是指？,先 i+1，再用 i,先用 i ，再將 i+1,i 加兩個1,不具任何意義,B,正確答案是 B：先用 i ，再將 i+1。
quiz-348,二進位表示法的 0001 在十進位表示法中寫成？,0,1,2,3,B,正確答案是 B：1。
quiz-349,二進位表示法的 0010 在十進位表示法中寫成？,0,1,2,3,C,正確答案是 C：2。
quiz-350,二進位表示法的 0011 在十進位表示法中寫成？,0,1,2,3,D,正確答案是 D：3。
quiz-351,二進位表示法的 0100 在十進位表示法中寫成？,4,5,6,7,A,正確答案是 A：4。
quiz-352,以下何者符合正規表達式「a+b+」？,aa,aab,ba,bbb,B,正確答案是 B：aab。
quiz-353,以下何者符合正規表達式「a*b*」？,aba,bab,bbb,bba,C,正確答案是 C：bbb。
quiz-354,"假設現在 $t0=0、$t1=1、$t2=2，則若有一 MIPS 指令 add $t0, $t1, $t2，問 $t1=？",0,1,2,3,B,正確答案是 B：1。
quiz-355,SITCON 官方網站為 sitcon.org/ ，請問看見 .org 的網域名稱，代表該單位屬於？,教育與學術機構,傳教機構,財團法人、基金會等非官方組織,軍事單位,C,正確答案是 C：財團法人、基金會等非官方組織。
quiz-356,請問想要讀取資料庫的資料，SQL 必須下什麼指令？,CREATE,SELECT,GET,READ,B,正確答案是 B：SELECT。
quiz-357,請問想要更新資料庫的資料，SQL 必須下什麼指令？,UPDATE,POST,WRITE,PATCH,A,正確答案是 A：UPDATE。
quiz-358,請問哪一年的 SITCON badge 名牌採取純燙金與燙白的設計？以製造出符合 The Ture Hackers,SITCON 2015,SITCON 2016,SITCON 2017,SITCON 2018,A,正確答案是 A：SITCON 2015。
quiz-359,SITCON 2017 為讓會眾更深入理解「網路中立與資訊自由」是為了讓在網路上的資訊取得與流通變得更方便， 大會特別安排「SITCON 電影院」播放了核部紀錄片呢？,捍衛網權,網羅人生,遊戲結束，未完待續,網路總動員,A,正確答案是 A：捍衛網權。
quiz-360,"假設現在 $t0=0、$t1=1、$t2=2，則若有一 MIPS 指令 sub $t2, $t1, $t0，問 $t2=？",0,1,2,3,B,正確答案是 B：1。
quiz-361,在 C 語言中，有一段程式碼 for (i = 0; i < n; i++) { … }，下列何者對此程式碼的描述錯誤？,第一次進 for 迴圈時先使 i=0,當 i<n 則跳出迴圈,每次迴圈的最後將 i=i+1,以上描述皆正確,B,正確答案是 B：當 i<n 則跳出迴圈。
quiz-362,在版本控制中，將本地端的修改送回檔案庫，稱為？,add,push,commit,init,C,正確答案是 C：commit。
quiz-363,在版本控制中，當兩方更動同一份檔案會發生衝突，稱為？,Collision,Conflict,Fight,Hit,B,正確答案是 B：Conflict。
quiz-364,DevOps 視為 ______、_________、_________ 的交集，請問 ________ 不包含下列何者？,Development,Operations,QA,VC,D,正確答案是 D：VC。
quiz-365,SITCON 2017 的紀念品為何者？,抱枕,牙套,徽章,眼罩,A,正確答案是 A：抱枕。
quiz-366,在 Android Studio 出現之前，Google 官方支援的開發 IDE 是？,Xcode,Eclipse,Visual Studio,Notepad++,B,正確答案是 B：Eclipse。
quiz-367,下列何者是 Ubuntu 的套件管理程式？,APT,YUM,DNF,DPKG,A,正確答案是 A：APT。
quiz-368,在版本控制中，將本地端的修改送回檔案庫，稱為？,add,push,commit,init,C,正確答案是 C：commit。
quiz-369,下列何者不為版本控制軟體？,SVK,Git,BitKeeper,Devops,D,正確答案是 D：Devops。
quiz-370,請問 DevOps 是下列哪兩個字的組成？,Development 和 Operations,Develop 和 Operate,Developer 和 Operator,Developing 和 Operating,A,正確答案是 A：Development 和 Operations。
quiz-371,十六進位表示法的 ff 在二進位表示法中可以表示成？,1111 0000,0000 1111,0000 0000,1111 1111,D,正確答案是 D：1111 1111。
quiz-372,十六進位表示法的 91 在二進位表示法中可以表示成？,1000 0001,1001 0001,0111 1001,0001 1001,B,正確答案是 B：1001 0001。
quiz-373,現在常聽到的人工智慧 AI 英文全名是？,Artificial Intelligence,Acknowledged Interface,Amazing Influence,American Internet,A,正確答案是 A：Artificial Intelligence。
quiz-374,現在常聽到的機器學習 ML 英文全名是？,Machanism Lecture,Machine Learning,Machine Laughing,Magic Live,B,正確答案是 B：Machine Learning。
quiz-375,現在常聽到的深度學習 DL 英文全名是？,Dangerous Lion,Different Language,Dog Laughing,Deep Learing,D,正確答案是 D：Deep Learing。
quiz-376,在 C 語言中，int 具有多少 bits？,8,16,32,64,B,正確答案是 B：16。
quiz-377,在 C 語言中，char 具有多少 bits？,8,16,32,64,A,正確答案是 A：8。
quiz-378,"假設現在 $t0=0、$t1=1、$t2=2，則若有一 MIPS 指令 sub $t2, $t1, $t0，問 $t0=？",0,1,2,3,A,正確答案是 A：0。
quiz-379,Linux 目錄樹配置標準 FHS，定義的目錄資訊，主要分為四種，下列何者為非？,shareable,unshareable,static,dynamic,D,正確答案是 D：dynamic。
quiz-380,加密與解密的演算法是一種數學運算公式，主要目的是將明文轉換成密文，密碼學基本的數學運算概念有三種，下列何者為非？,取代,置換,相乘,迭代,D,正確答案是 D：迭代。
quiz-381,正規語法（Regular Grammar）是一種相當簡單的語法。此種標準的正規語法後來被稱為正規表達式（Regular Expression）。下列關於正規表達式語法，何者敘述錯誤？,[0-9] ：比對含數字之字串,[a-z0-9]：比對含數字或小寫字母之字串,b[aeiou]t ：比對bat、bet、bit、bot、but,[aeiouAEIOU] ：比對不含母音之字串,D,正確答案是 D：[aeiouAEIOU] ：比對不含母音之字串。
quiz-382,所謂的三向交握（Three-way Handshake）是下列哪一個協定建立虛擬連線（virtual connection）的方式？,TCP,UDP,ARP,SMTP,A,正確答案是 A：TCP。
quiz-383,下列何者並非以人工智慧為題材的科幻電影？,關鍵少數（Hidden Figures）,A.I.人工智慧（A.I. Artificial Intelligence）,變人（Bicentennial Man）,銀翼殺手（Blade Runner）,A,正確答案是 A：關鍵少數（Hidden Figures）。
quiz-384,在《神鬼駭客：史諾登》中，主角最後將什麼計畫透漏給記者？,稜角計劃,稜鏡計劃,CIA 計劃,他沒有透漏任何東西,B,正確答案是 B：稜鏡計劃。
quiz-385,何者不包括在 TCP/IP 協定組合中？,DNS,ASP,ARP,HTTP,B,正確答案是 B：ASP。
quiz-386,下列敘述何者正確？,IPv4 位址為 64 Bits,IPv6 位址為 128 Bits,IPv4 位址通常以「4 段式、16 進位」表示,「203.74.205.256」為正確的 IPv4 位址,B,正確答案是 B：IPv6 位址為 128 Bits。
quiz-387,知名搜尋引擎 Yahoo! 創始人來自哪個國家？,美國,波蘭,台灣,俄羅斯,C,正確答案是 C：台灣。
quiz-388,自然語言處理（NLP）目標是要讓電腦能「理解」自然語言。一般而言，NLP 處理分為五大流程，請問下列何者不為自然語言處理的處理流程？,Tokensize,POS tagging,facing,Semantics,C,正確答案是 C：facing。
quiz-389,Deep learinging 為時下最熱門的研究領域之一，當中常利用神經網路模型進行訓練，請問下列關於各神經網路模型的敘述，何者錯誤？,CNN 為卷積神經網路，第一層為池化層，第二層為卷基層，,RNN 為循環神經網路，主要用來處理序列性資料。,LSTM 可以說是 RNN 的延伸為，其差異為 LSTM 加入三個控制開關,Word2vec 又分為 CBOW 與 Skip-gram 兩種模型,A,正確答案是 A：CNN 為卷積神經網路，第一層為池化層，第二層為卷基層，。
quiz-390,請問 SITCON 的 Telegram 討論群組，ID 為何？,@SITCONtw,@SITCON,@SITCONgeneral,@SITCONorg,C,正確答案是 C：@SITCONgeneral。
quiz-391,網際網路犯罪中心將變臉詐騙分為五大類型，不包含下列何者？,假發票詐騙,執行長詐騙,假冒成律師,假冒成警察,D,正確答案是 D：假冒成警察。
quiz-392,下列哪一種資安攻擊手法不需要強大的資訊技能？,SQL Injection,Click jacking,Social Engineering,Domain name hijacking,C,正確答案是 C：Social Engineering。
quiz-393,當一個瀏覽器試圖連線開啟 https://www.facebook.com/ 時，瀏覽器不會做下列哪件事？,偷偷查看使用者 D 槽文件,與網頁伺服器建立加密的安全連線,檢查網頁伺服器是否能夠提供有效的憑證,使用 HTTP 通訊協定向網頁伺服器要求傳送網頁內容,A,正確答案是 A：偷偷查看使用者 D 槽文件。
quiz-394,請問下列關於二元樹的敘述，何者錯誤？,原理是 Divide and Conquer,時間複雜度最差為 O(N),時間複雜度最佳為 O(logN),空間複雜度為 O(logN),D,正確答案是 D：空間複雜度為 O(logN)。
quiz-395,下列關於 Binary Heap 的敘述，何者正確？,其二元樹的樹根數字，總是小於等於左右小孩的數字,插入的時間複雜度為 O(logN),求極值的時間複雜度為 O(N),刪除的時間複雜度為 O(logN),C,正確答案是 C：求極值的時間複雜度為 O(N)。
quiz-396,目前廣泛被各大 Linux 發行版採用的 init 程式是？,Upstart,systemd,systemctl,initctl,B,正確答案是 B：systemd。
quiz-397,下列何者是今日議程之一？,你媽知道你在寫 Functional 嗎？,校園資訊系統的困境與嘗試改善,前端工程的過去、現在與未來,格鬥遊戲 AI 開發經驗談,A,正確答案是 A：你媽知道你在寫 Functional 嗎？。
quiz-398,下列何者是今日議程之一？,重拾數位時代的公民權,奔跑吧！台北：遊戲開發經驗分享,雷系魔法師也能煎牛排！,直播邊看邊好玩：探討遊戲挑戰及持續意圖,B,正確答案是 B：奔跑吧！台北：遊戲開發經驗分享。
quiz-399,下列何者是今日議程之一？,網路身分的真與假：談網路實名制,蘊含著強大力量的 GTK 啊，封印解除！,用 Electron 實踐跨平臺桌面程式,直播邊看邊好玩：探討遊戲挑戰及持續意圖,B,正確答案是 B：蘊含著強大力量的 GTK 啊，封印解除！。
quiz-400,下列何者是今日議程之一？,從 V8 Javascript 引擎淺談現代編譯技術,寫寫你的美好：一起打造「藝術產生器」吧！,600 秒學會 UI 設計,校園資訊系統的困境與嘗試改善,C,正確答案是 C：600 秒學會 UI 設計。
quiz-401,請問下列關於 SaaS（Software as a Service）的敘述，何者錯誤？,將軟體以服務的型式來提供,單租戶型式,降低了使用軟體的門檻,使用者透過網路即可使用軟體,B,正確答案是 B：單租戶型式。
quiz-402,CSS3 新增了酷炫的文字陰影，請問 text-shadow: 5px 5px 10px #FF0000; 這條程式中的 10px 代表這是什麼意思？,陰影與本體水平位移 10px,陰影與本體垂直位移 10px,陰影為模糊 10px 陰影,陰影的顏色,C,正確答案是 C：陰影為模糊 10px 陰影。
quiz-403,請問哪年的 SITCON 主視覺中特別以藍色或粉紅色標注了 ING 三個字？,SITCON 2015,SITCON 2016,SITCON 2017,SITCON 2018,C,正確答案是 C：SITCON 2017。
quiz-404,國中國文課本中的作家琦君，其著名的做作品「橘子紅了」，是以每年橘子紅的時節為延伸的言情小說作品； SITCON 的猶如橘子般的指南針 Logo 也有曾經紅了的時節，請問該事件發生在哪一年？,SITCON 2014,SITCON 2015,SITCON 2016,SITCON 2017,B,正確答案是 B：SITCON 2015。
